Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit],Charging [-],Dicharging [-],Mobility_bev [MWh],Mobility_car [km]
1.0000000000,1.0826132060,16.5489795900,0.0000000000,237.6585173000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
2.0000000000,0.9567161940,15.7979591800,0.0000000000,216.6411879000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
3.0000000000,0.8551104700,15.3285714300,0.0000000000,216.6411879000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
4.0000000000,0.7695963480,15.0469387800,0.0000000000,195.6238585000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
5.0000000000,0.7358083780,15.1408163300,0.0000000000,237.6585173000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
6.0000000000,0.7159356870,16.1734693900,0.0000000000,258.6758467000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
7.0000000000,0.7154080940,16.6428571400,0.0000000000,195.6238585000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
8.0000000000,0.8229052800,17.9571428600,0.0000000000,134.9184882000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
9.0000000000,0.8886786090,19.2714285700,16.1094402500,74.0385710900,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
10.0000000000,1.0404936540,20.3979591800,314.7312620000,74.0385710900,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
11.0000000000,1.2374399300,20.5857142900,502.3046213000,195.6238585000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
12.0000000000,1.4441027210,20.7734693900,296.2088611000,412.5479093000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
13.0000000000,1.5626134220,20.7734693900,405.6530765000,412.5479093000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
14.0000000000,1.4850571700,20.7734693900,377.0395028000,864.3989433000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
15.0000000000,1.4189980610,20.4918367300,206.8662204000,279.6931761000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
16.0000000000,1.4563472880,20.3040816300,13.3814745100,195.6238585000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
17.0000000000,1.6219017480,21.4306122400,0.0000000000,503.0511033000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
18.0000000000,1.9211791900,21.9000000000,0.0000000000,472.8833720000,0.0000000000,1.0000000000,3.5086419667,9042.8916666667
19.0000000000,1.8924693080,21.0551020400,0.0000000000,915.2809597000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
20.0000000000,1.7896545140,21.1489795900,0.0000000000,773.8023685000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
21.0000000000,1.5218348370,21.1489795900,0.0000000000,733.7715276000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
22.0000000000,1.3538842230,20.1163265300,0.0000000000,813.8332093000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
23.0000000000,1.7216828780,17.8632653100,0.0000000000,1390.6240370000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
24.0000000000,1.4669870910,17.0183673500,0.0000000000,1501.5548440000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
25.0000000000,1.1842848800,18.9897959200,0.0000000000,1817.8272870000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
26.0000000000,1.0396363140,16.2673469400,0.0000000000,1911.1229630000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
27.0000000000,0.9719944240,16.2673469400,0.0000000000,1864.4751250000,1.0000000000,0.0000000000,0.0000000000,9042.8916666667
